task_id,module,owner,status,depends_on,dod,test_command,artifact_path
"DASH-C-002","WS-UX","unassigned","todo","DASH-C-001","外部 UI 不展示 provider 级配置。","npm --prefix ./projects/mediation-dashboard run test -- no-provider-config","projects/mediation-dashboard/src/views"
"DASH-C-003","WS-ROUTING","unassigned","todo","DASH-C-001","provider 凭证仅内部托管，不进入外部门户。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- provider-credential-scope","projects/tappy-ai-mediation/src/connectors"
"DASH-C-004","WS-ROUTING","unassigned","todo","DASH-C-001","fallback/failover 在异常时可稳定工作。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- fallback","projects/tappy-ai-mediation/src/runtime"
"DASH-C-005","WS-ROUTING","unassigned","todo","DASH-C-004","route outcome 指标可在 Usage 聚合展示。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- route-metrics","projects/tappy-ai-mediation/src/metrics"
"DASH-C-006","WS-QA","unassigned","todo","DASH-C-004|DASH-C-005","staging 灰度验证通过并具备回退开关。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- managed-routing","docs/execution-plans/implementation/managed-routing-go-no-go.md"
"DASH-D-001","WS-RESET","unassigned","todo","DASH-A-001","internal role + feature flag 生效。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- internal-flag","projects/tappy-ai-mediation/src/auth"
"DASH-D-002","WS-RESET","unassigned","todo","DASH-D-001","soft reset 清理测试配置且保留组织账号。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- soft-reset","projects/tappy-ai-mediation/src/devtools"
"DASH-D-003","WS-RESET","unassigned","todo","DASH-D-001","snapshot restore 可回到指定联调状态。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- snapshot-restore","projects/tappy-ai-mediation/src/devtools"
"DASH-D-004","WS-RESET","unassigned","todo","DASH-D-002|DASH-D-003","validation runId 隔离生效，无数据串扰。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- validation-run","projects/tappy-ai-mediation/src/devtools"
"DASH-D-005","WS-RESET","unassigned","todo","DASH-D-001","mediation 内部 reset 面板可用。","npm --prefix ./projects/mediation-dashboard run test -- internal-reset-panel","projects/mediation-dashboard/src/views/InternalResetView.vue"
"DASH-D-006","WS-QA","unassigned","todo","DASH-D-002|DASH-D-003|DASH-D-004","外部账号不可触发 reset，prod 环境受保护。","npm --prefix ./projects/tappy-ai-mediation run test:e2e -- reset-guard","docs/execution-plans/implementation/test-run-reset-guard.md"
"DASH-E-001","WS-MIGRATION","unassigned","todo","DASH-C-001","ZeroClick 映射模板可产出迁移配置草案。","docs lint / mapping review","docs/other/integration/provider-mapping-zeroclick.md"
"DASH-E-002","WS-MIGRATION","unassigned","todo","DASH-C-001","TryGravity 映射模板可产出迁移配置草案。","docs lint / mapping review","docs/other/integration/provider-mapping-trygravity.md"
"DASH-E-003","WS-MIGRATION","unassigned","todo","DASH-E-001|DASH-E-002","迁移 intake checklist 可评估差异与风险。","docs lint / checklist review","docs/other/integration/provider-migration-intake-checklist.md"
"DASH-E-004","WS-MIGRATION","unassigned","todo","DASH-E-003","迁移导入脚本可生成基础配置。","npm --prefix ./projects/tappy-ai-mediation run test:integration -- migration-import","projects/tappy-ai-mediation/scripts/migration"
"DASH-E-005","WS-QA","unassigned","todo","DASH-E-004","试点迁移 dry-run 可输出差异、风险与工时估算。","manual dry-run + report","docs/execution-plans/implementation/migration-dry-run-report.md"
